Calendar Month,Sum of Withdrawals (GBP),Sum of Deposits (GBP),Number of Transactions,Account Balance for each account (GBP)
2018-04-01,4068742784.0511613,3706220329.8911247,2294,"{1196428.0: 563820560.7525818, 409000000000.0: -826232591.7578381, 1196711.0: -1327253913.8173165}"
2018-05-01,3984319384.546013,4353199685.701427,2360,"{1196428.0: 375416951.53137714, 409000000000.0: -458870957.29331714, 1196711.0: -1137331637.9052234}"
2018-06-01,4163835129.5478554,3935738777.0343027,2253,"{1196428.0: 316990339.20988464, 409000000000.0: -788433519.8829856, 1196711.0: -977438815.5076135}"
2018-07-01,3782365619.818108,4099086947.0970182,2338,"{1196428.0: 78131170.07047579, 409000000000.0: -570854442.2280395, 1196711.0: -639437396.7442461}"
2018-08-01,3904832902.2479277,4263571660.8998785,2340,"{1196428.0: 216968301.3501816, 409000000000.0: -480156594.8562553, 1196711.0: -510233616.74378073}"
2018-09-01,4116321327.992954,4437285235.9187155,2397,"{1196428.0: 5854249.232422567, 409000000000.0: -158598336.07665974, 1196711.0: -299713915.47985274}"
2018-10-01,4629959243.991783,3765345549.669573,2363,"{1196428.0: -151201387.95469314, 409000000000.0: -262997958.39630228, 1196711.0: -902872350.2953179}"
2018-11-01,4373545441.901904,4391440506.567114,2326,"{1196428.0: -167750974.8247326, 409000000000.0: -56965788.932652235, 1196711.0: -1074459868.2237196}"
2018-12-01,4492066804.765197,5018342130.912298,2409,"{1196428.0: -145744431.71506065, 409000000000.0: -123524086.18112229, 1196711.0: -503632787.93781114}"
2019-01-01,4753412217.918233,3998158843.6401005,2446,"{1196428.0: -150389514.35727456, 409000000000.0: -672682302.380323, 1196711.0: -705082863.3745258}"
2019-02-01,3652887563.4758253,3842917182.148873,2116,"{1196428.0: -232676698.21646976, 409000000000.0: -353079134.762812, 1196711.0: -752369228.4597929}"
